transfer_id,player_name,first_name,last_name,date,old_team_id,new_team_id
15939,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15940,Georgi Petrov,Georgi,Petrov,2021,,t1858
15941,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15942,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15943,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15944,David Marques,David,Marques,2021,t6585,t2806
15945,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15946,Luka Basic,Luka,Basic,2021,,t1664
15947,Christian Fromm,Christian,Fromm,2021,,t1308
15948,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15949,David Marques,David,Marques,2021,t6585,t2806
15950,Marian Epple,Marian,Epple,2021,,t7350
15951,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15952,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15953,Luka Basic,Luka,Basic,2021,,t1664
