stadium_id,stadium_name,country_code,town,opening_year,capacity
a2970,Gymnase Paul-Émile Victor,FR,Vidauban,,
a2971,Gymnase Rose Fuveau,FR,Marseille,,
a2972,Sportovní hala ZŠ Jiráskova,,Benešov,,
a2973,City Sport Hall,PL,Chelm,,
a2974,Cyrk Arena,PL,Namyslow,,
a2975,Dalumhallen,DK,Odense,1967.0,
a2977,Arena Ugra,,Khanty-Mansiysk,2008.0,5500.0
a2978,Utah Athletic Center,,North Salt Lake,,8400.0
a2979,Sila Plovdiv,BG,Plovdiv,,
a298,Sports Palace Juan Escutia,MX,Mexico City,1968.0,20000.0
a2980,Benkovski Teteven,BG,Teteven,,
a2981,Hristo Botev Lukovit,BG,Lukovit,,
a2982,Ivan Handjiev,BG,Ruse,,250.0
a2983,Dynamo Sports Hall,,Krasnodar,,
a2984,Izumi Civic Gymnasium,JP,Tachikawa City Tokyo,,
a2985,Nishiwakishi City Center,JP,Nishiwaki City Hyogo,,2500.0
a2986,Sportall in Khyriv,UA,Khyriv,,
a2987,Palestra Max Valier,IT,Bolzano,,
a2988,Centro Sportivo Paolo VI,IT,Albiate,,
a2989,Palazzetto dello Sport Grassato,IT,Motta di Livenza,,
a2990,Le Cupole,IT,Torino,,
a2991,Palazzetto dello Sport Porto Viro,IT,Porto Viro,,
a2992,PalaFontebasso,IT,Noventa di Piave,,
a2993,Palasport Allende - Fano,IT,Fano,,
a2994,PalaBotteghelle,IT,Reggio Calabria,1983.0,3000.0
a2995,PalaCercola,IT,Cercola,,
a2996,PalaRizza,IT,Modica,,
a2997,PalaVitaletti,IT,Sabaudia,,
a2998,Messehalle,DE,Friedrichshafen,,
a2999,PSC Pinki,RS,Sremska Mitrovica,1987.0,1300.0
a30,A.Y.S. Sport Hall,AZ,Baku,,
a300,Omnisports Arena,NL,Apeldoorn,2008.0,2000.0
a3000,Ninh Bình Gymnasium,,Ninh Bình,,
a3001,Nam Định Gymnasium,,Nam Định,,
a3002,SC Paraćin,RS,Paraćin,1977.0,1380.0
a3003,First School Language Hall,BG,Varna,,
a3004,Lokomotiv,BG,Sofia,,
a3005,JP Sportski centar Šid,RS,Šid,1980.0,1500.0
a3006,SRC Jezero,RS,Kikinda,1979.0,1200.0
a3007,Sporthal Maasmechelen,BE,Maasmechelen,,
a3008,Simonetzaal,BE,Anderlecht,,
a3009,Sporthal Geldrop,NL,Geldrop,,
a3010,Zhastar,,Taldykorgan,,1500.0
a3011,ŠD Zreče,SI,Zreče,,
a3012,OŠ Braslovče,SI,Braslovče,,
a3013,Zelena dvorana Puconci,SI,Puconci,,
a3014,ŠD OŠ Mozirje,SI,Mozirje,,
a3015,Draš Center,SI,Maribor,,
a3017,ŠD ŠIC Ljutomer,SI,Ljutomer,,
a3018,Sporthal Tilroda,BE,Temse,,
a3019,ŠD Zlato Polje,SI,Kranj,,
a302,Ahoy,NL,Rotterdam,1950.0,10000.0
a3023,Dumitru Colibaș,RO,Brașov,,
a3024,Sporthal Wolfput,BE,Oostakker,,
a3025,Ekeberg Idrettshall,NO,Oslo,1981.0,
a3026,Sportcomplex Lummen,BE,Lummen,,
a3027,Sportshall Rieti,IT,Rieti,,
a3028,Gym Pan de Azucar,UY,Pan de Azucar,,
a3029,Nimibutr Stadium,TH,Bangkok,1963.0,5600.0
a303,Topsporthal Hall,NL,Rotterdam,,3000.0
a3031,Coliseo Cayetano Cañizares,CO,Bogotá,,4000.0
a3032,Abai Arena,,Semey,,
a3033,Gor Amongrogo,ID,Yogyakarta,,5000.0
a3036,Sriwijaya Sport Hall,ID,Palembang,,
a3038,Zhenjiang Gymnasium,CN,Zhenjiang,,
a304,Domus Athletica,NO,Oslo,1966.0,3000.0
a3045,SK NUFVSU,UA,Kyiv,,
a3046,Boryslavska DYuSSh,UA,Boryslav,,
a3047,SK DDAEU,UA,Dnipro,,
a3048,SC Naftokhimik,UA,Nadvirna,,
a3049,Palais des sports,FR,Caudry,,
a305,Coliseo Cerrado,PE,Ica,1980.0,13000.0
a3050,Complexe sportif Nelson Paillou,FR,Charenton-le-Pont,,
a3051,Salle Vallier,FR,Marseille,,
a3052,Inagi City General Gymnasium,JP,Inagi City Tokyo,1992.0,424.0
a3053,Kumagaya Civic Gymnasium,JP,Kumagaya City Saitama,,983.0
a3054,PalaMazzola,IT,Taranto,2004.0,3100.0
a3055,Pala Francescucci,IT,Casnate con Bernate,,2000.0
a3056,Palasport di Ferrara,IT,Ferrara,1982.0,3504.0
a3057,PalaVeliero,IT,San Giorgio a Cremano,,1000.0
a3058,Pala Di Fiore,IT,Roma,,
a3059,Pala Barbazza,IT,San Donà di Piave,,
a3060,Gimnasio Ambrosini UNSJ,AR,San Juan,,
a3061,Estadio Once Unidos,AR,Mar Del Plata,,2700.0
a3062,Estadio Club Paracao,AR,Paraná,,
a3063,Palasport Arcidiacono,IT,Catania,2008.0,1000.0
a3064,PalaMaiata,IT,Vibo Valentia,,3056.0
a3065,Töölön Kisahalli,FI,Helsinki,1935.0,
a3066,Dragvollhallen,NO,Trondheim,,
a3067,Tallinna 32. Keskkool,EE,Tallinn,1971.0,
a3068,Tallinna Ülikooli SH,EE,Tallinn,,
a3069,Võru SK,EE,Võru,,
a307,Manuel Bonila Gymnasium,PE,Lima,,3500.0
a3070,Maaülikooli Spordihoone,EE,Tartu,2009.0,
a3071,Gimnazija Matije Antuna Reljkovića,HR,Vinkovci,,
a3072,OŠ Veli Vrh,HR,Pula,,
a3073,GD Sinj Ivica Glavan,HR,Sinj,,
a3074,Ginásio Combinado 5 de Julho,BR,Niterói,,
a3075,OŠ Stjepana Radića Bibinje,HR,Bibinje,,
a3076,Sportna Hala Velichko Cholakov,BG,Smoljan,,
a3077,Sportna Hala Dan Kolov,BG,Sevlievo,,
a3078,Landøya Idrettshall,NO,Asker,,
a3079,MŠH Komárno,SK,Komárno,,
a308,Energia,PL,Bełchatów,2006.0,2700.0
a3080,ŠH – SŠŠ Trenčín,SK,Trenčín,,
a3081,MŠH Myjava,SK,Myjava,,
a3082,ŠH Hotelová Akadémia,SK,Košice,,
a3083,ŠH PU,SK,Prešov,,
a3084,ŠH Prievidza,SK,Prievidza,,
a3085,ŠH Dom športu - Nová hala,SK,Bratislava,,
a3086,Ginásio Castelinho,BR,São Luís- Brasil,1982.0,6500.0
a3087,SH Jassa,RS,Jagodina,,
a3088,SH Kej,RS,Pirot,,
a3089,SH Vladicin Han,RS,Vladicin Han,,
a309,Sports Hall,PL,Bielsko-Biała,2010.0,4500.0
a3090,SH Negotin,RS,Negotin,,
a3091,OS Miroslav Antic,RS,Nis,,
a3093,Covelli Center,,Columbus,2019.0,3700.0
